school,date,duration,people,level,price
chase4snow,2026-11-15,half,1,0,48000
snowandflow,2026-11-15,half,1,0,42000
pinnacle,2026-11-15,half,1,0,45000
fuyu,2026-11-15,half,1,0,0
baddies,2026-11-15,half,1,0,81000
gosnow,2026-11-15,half,1,0,0
niss,2026-11-15,half,1,0,0
snowman,2026-11-15,half,1,0,NA
chase4snow,2026-11-15,half,1,1,54000
snowandflow,2026-11-15,half,1,1,47000
pinnacle,2026-11-15,half,1,1,51000
fuyu,2026-11-15,half,1,1,0
baddies,2026-11-15,half,1,1,89000
gosnow,2026-11-15,half,1,1,0
niss,2026-11-15,half,1,1,0
snowman,2026-11-15,half,1,1,NA
chase4snow,2026-11-15,half,1,2,54000
snowandflow,2026-11-15,half,1,2,47000
pinnacle,2026-11-15,half,1,2,51000
fuyu,2026-11-15,half,1,2,0
baddies,2026-11-15,half,1,2,89000
gosnow,2026-11-15,half,1,2,0
niss,2026-11-15,half,1,2,0
snowman,2026-11-15,half,1,2,NA
chase4snow,2026-11-15,half,1,3,55000
snowandflow,2026-11-15,half,1,3,0
pinnacle,2026-11-15,half,1,3,60000
fuyu,2026-11-15,half,1,3,0
baddies,2026-11-15,half,1,3,0
gosnow,2026-11-15,half,1,3,0
niss,2026-11-15,half,1,3,0
snowman,2026-11-15,half,1,3,NA
chase4snow,2026-11-15,half,2,0,48000
snowandflow,2026-11-15,half,2,0,46000
pinnacle,2026-11-15,half,2,0,45000
fuyu,2026-11-15,half,2,0,0
baddies,2026-11-15,half,2,0,81000
gosnow,2026-11-15,half,2,0,0
niss,2026-11-15,half,2,0,0
snowman,2026-11-15,half,2,0,NA
chase4snow,2026-11-15,half,2,1,54000
snowandflow,2026-11-15,half,2,1,51000
pinnacle,2026-11-15,half,2,1,51000
fuyu,2026-11-15,half,2,1,0
baddies,2026-11-15,half,2,1,89000
gosnow,2026-11-15,half,2,1,0
niss,2026-11-15,half,2,1,0
snowman,2026-11-15,half,2,1,NA
chase4snow,2026-11-15,half,2,2,54000
snowandflow,2026-11-15,half,2,2,51000
pinnacle,2026-11-15,half,2,2,51000
fuyu,2026-11-15,half,2,2,0
baddies,2026-11-15,half,2,2,89000
gosnow,2026-11-15,half,2,2,0
niss,2026-11-15,half,2,2,0
snowman,2026-11-15,half,2,2,NA
chase4snow,2026-11-15,half,2,3,55000
snowandflow,2026-11-15,half,2,3,0
pinnacle,2026-11-15,half,2,3,60000
fuyu,2026-11-15,half,2,3,0
baddies,2026-11-15,half,2,3,0
gosnow,2026-11-15,half,2,3,0
niss,2026-11-15,half,2,3,0
snowman,2026-11-15,half,2,3,NA
chase4snow,2026-11-15,half,3,0,48000
snowandflow,2026-11-15,half,3,0,50000
pinnacle,2026-11-15,half,3,0,45000
fuyu,2026-11-15,half,3,0,0
baddies,2026-11-15,half,3,0,81000
gosnow,2026-11-15,half,3,0,0
niss,2026-11-15,half,3,0,0
snowman,2026-11-15,half,3,0,NA
chase4snow,2026-11-15,half,3,1,54000
snowandflow,2026-11-15,half,3,1,55000
pinnacle,2026-11-15,half,3,1,51000
fuyu,2026-11-15,half,3,1,0
baddies,2026-11-15,half,3,1,89000
gosnow,2026-11-15,half,3,1,0
niss,2026-11-15,half,3,1,0
snowman,2026-11-15,half,3,1,NA
chase4snow,2026-11-15,half,3,2,54000
snowandflow,2026-11-15,half,3,2,55000
pinnacle,2026-11-15,half,3,2,51000
fuyu,2026-11-15,half,3,2,0
baddies,2026-11-15,half,3,2,89000
gosnow,2026-11-15,half,3,2,0
niss,2026-11-15,half,3,2,0
snowman,2026-11-15,half,3,2,NA
chase4snow,2026-11-15,half,3,3,55000
snowandflow,2026-11-15,half,3,3,0
pinnacle,2026-11-15,half,3,3,60000
fuyu,2026-11-15,half,3,3,0
baddies,2026-11-15,half,3,3,0
gosnow,2026-11-15,half,3,3,0
niss,2026-11-15,half,3,3,0
snowman,2026-11-15,half,3,3,NA
chase4snow,2026-11-15,half,4,0,48000
snowandflow,2026-11-15,half,4,0,54000
pinnacle,2026-11-15,half,4,0,50000
fuyu,2026-11-15,half,4,0,0
baddies,2026-11-15,half,4,0,0
gosnow,2026-11-15,half,4,0,0
niss,2026-11-15,half,4,0,0
snowman,2026-11-15,half,4,0,NA
chase4snow,2026-11-15,half,4,1,54000
snowandflow,2026-11-15,half,4,1,59000
pinnacle,2026-11-15,half,4,1,56000
fuyu,2026-11-15,half,4,1,0
baddies,2026-11-15,half,4,1,0
gosnow,2026-11-15,half,4,1,0
niss,2026-11-15,half,4,1,0
snowman,2026-11-15,half,4,1,NA
chase4snow,2026-11-15,half,4,2,54000
snowandflow,2026-11-15,half,4,2,59000
pinnacle,2026-11-15,half,4,2,56000
