school,date,duration,people,level,price
chase4snow,2026-11-15,half,1,0,48000
snowman,2026-11-15,half,1,0,54000
snowandflow,2026-11-15,half,1,0,42000
niss,2026-11-15,half,1,0,57000
baddies,2026-11-15,half,1,0,81000
fuyu,2026-11-15,half,1,0,58000
pinnacle,2026-11-15,half,1,0,62000
gosnow,2026-11-15,half,1,0,61500
chase4snow,2026-11-15,half,1,1,54000
snowman,2026-11-15,half,1,1,57000
snowandflow,2026-11-15,half,1,1,47000
niss,2026-11-15,half,1,1,57000
baddies,2026-11-15,half,1,1,81000
fuyu,2026-11-15,half,1,1,0
pinnacle,2026-11-15,half,1,1,68000
gosnow,2026-11-15,half,1,1,61500
chase4snow,2026-11-15,half,1,2,54000
snowman,2026-11-15,half,1,2,60000
snowandflow,2026-11-15,half,1,2,47000
niss,2026-11-15,half,1,2,57000
baddies,2026-11-15,half,1,2,81000
fuyu,2026-11-15,half,1,2,0
pinnacle,2026-11-15,half,1,2,68000
gosnow,2026-11-15,half,1,2,61500
chase4snow,2026-11-15,half,1,3,55000
snowman,2026-11-15,half,1,3,64000
snowandflow,2026-11-15,half,1,3,0
niss,2026-11-15,half,1,3,57000
baddies,2026-11-15,half,1,3,81000
fuyu,2026-11-15,half,1,3,0
pinnacle,2026-11-15,half,1,3,77000
gosnow,2026-11-15,half,1,3,61500
chase4snow,2026-11-15,half,2,0,48000
snowman,2026-11-15,half,2,0,54000
snowandflow,2026-11-15,half,2,0,46000
niss,2026-11-15,half,2,0,57000
baddies,2026-11-15,half,2,0,81000
fuyu,2026-11-15,half,2,0,58000
pinnacle,2026-11-15,half,2,0,65000
gosnow,2026-11-15,half,2,0,61500
chase4snow,2026-11-15,half,2,1,54000
snowman,2026-11-15,half,2,1,57000
snowandflow,2026-11-15,half,2,1,51000
niss,2026-11-15,half,2,1,57000
baddies,2026-11-15,half,2,1,81000
fuyu,2026-11-15,half,2,1,0
pinnacle,2026-11-15,half,2,1,71000
gosnow,2026-11-15,half,2,1,61500
chase4snow,2026-11-15,half,2,2,54000
snowman,2026-11-15,half,2,2,60000
snowandflow,2026-11-15,half,2,2,51000
niss,2026-11-15,half,2,2,57000
baddies,2026-11-15,half,2,2,81000
fuyu,2026-11-15,half,2,2,0
pinnacle,2026-11-15,half,2,2,71000
gosnow,2026-11-15,half,2,2,61500
chase4snow,2026-11-15,half,2,3,55000
snowman,2026-11-15,half,2,3,64000
snowandflow,2026-11-15,half,2,3,0
niss,2026-11-15,half,2,3,57000
baddies,2026-11-15,half,2,3,81000
fuyu,2026-11-15,half,2,3,0
pinnacle,2026-11-15,half,2,3,80000
gosnow,2026-11-15,half,2,3,61500
chase4snow,2026-11-15,half,3,0,48000
snowman,2026-11-15,half,3,0,54000
snowandflow,2026-11-15,half,3,0,50000
niss,2026-11-15,half,3,0,57000
baddies,2026-11-15,half,3,0,81000
fuyu,2026-11-15,half,3,0,58000
pinnacle,2026-11-15,half,3,0,69000
gosnow,2026-11-15,half,3,0,61500
chase4snow,2026-11-15,half,3,1,54000
snowman,2026-11-15,half,3,1,57000
snowandflow,2026-11-15,half,3,1,55000
niss,2026-11-15,half,3,1,57000
baddies,2026-11-15,half,3,1,81000
